Parameter S1 S1_conf ST ST_conf
cd836 -0.000173 0.000641 0.000076 0.000006
cd839 -0.000007 0.000581 0.000067 0.000005
cd838 0.000230 0.000705 0.000100 0.000007
ud56 0.576910 0.046478 0.582676 0.039287
cd860 -0.000006 0.000220 0.000009 0.000001
ud728 0.003077 0.003647 0.002616 0.000191
cd862 0.000086 0.000301 0.000019 0.000001
ud726 0.000000 0.000034 0.000000 0.000000
ud605 0.000111 0.000124 0.000003 0.000000
cd864 0.000010 0.000140 0.000004 0.000000
cd863 0.000017 0.000035 0.000000 0.000000
cd866 0.000000 0.000000 0.000000 0.000000
ud843 -0.000129 0.001529 0.000458 0.000035
ud842 0.021057 0.010973 0.019613 0.001354
cd626 0.000037 0.000120 0.000003 0.000000
cd505 -0.000019 0.000137 0.000004 0.000000
cd504 0.000001 0.000208 0.000008 0.000001
cd625 0.000024 0.000096 0.000002 0.000000
cd869 -0.000007 0.000083 0.000001 0.000000
cd748 -0.000008 0.000042 0.000000 0.000000
cd629 0.000013 0.000053 0.000001 0.000000
ud615 0.001976 0.002198 0.001023 0.000075
cd852 0.000011 0.000264 0.000013 0.000001
cd613 0.000025 0.000181 0.000006 0.000000
cd734 -0.000001 0.000181 0.000006 0.000000
cd733 0.000112 0.000830 0.000119 0.000009
ud854 0.000013 0.000122 0.000003 0.000000
cd857 0.000008 0.000031 0.000000 0.000000
cd736 -0.000009 0.000088 0.000002 0.000000
ud610 0.000443 0.000702 0.000103 0.000007
cd614 -0.000004 0.000037 0.000000 0.000000
cd859 0.000157 0.000656 0.000090 0.000007
ud851 0.000471 0.000873 0.000153 0.000011
cd858 -0.000003 0.000409 0.000035 0.000003
cd616 0.000009 0.000044 0.000000 0.000000
cd619 0.000022 0.000096 0.000002 0.000000
ud79 -0.000046 0.000217 0.000009 0.000001
ud76 0.000053 0.002475 0.001246 0.000092
ud77 -0.000309 0.001904 0.000710 0.000053
ud808 0.000033 0.000338 0.000022 0.000002
cd701 0.000131 0.000565 0.000058 0.000004
cd821 -0.000015 0.000234 0.000012 0.000001
cd824 0.000167 0.001104 0.000255 0.000018
cd823 0.000055 0.000390 0.000030 0.000002
cd706 -0.000267 0.000240 0.000012 0.000001
ud812 0.000021 0.000218 0.000010 0.000001
cd811 0.000011 0.000194 0.000007 0.000001
cd815 0.000014 0.000135 0.000004 0.000000
cd814 0.000163 0.000569 0.000058 0.000004
cd816 0.000053 0.000246 0.000012 0.000001
cd819 -0.000008 0.000145 0.000004 0.000000
ud549 0.000009 0.000052 0.000001 0.000000
ud306 0.005204 0.005348 0.005525 0.000405
ud667 0.004691 0.004380 0.004104 0.000299
ud301 0.018685 0.009063 0.016181 0.001152
ud422 -0.000007 0.000088 0.000001 0.000000
ud781 -0.000115 0.000192 0.000007 0.000001
ud660 0.000016 0.000249 0.000013 0.000001
ud319 0.006944 0.005925 0.007000 0.000531
ud555 0.000859 0.001917 0.000715 0.000054
ud676 -0.000041 0.000198 0.000008 0.000001
ud675 -0.000070 0.000225 0.000010 0.000001
ud672 0.000109 0.000479 0.000048 0.000003
ud792 0.000005 0.000032 0.000000 0.000000
cd29 0.000004 0.000271 0.000015 0.000001
cd25 0.000003 0.000032 0.000000 0.000000
cd26 0.000008 0.000095 0.000002 0.000000
cd22 -0.000004 0.000081 0.000001 0.000000
cd31 0.000459 0.000566 0.000064 0.000005
ud688 -0.000036 0.000401 0.000032 0.000002
ud567 0.000069 0.000345 0.000023 0.000002
ud560 0.004978 0.004996 0.004775 0.000340
hl197 0.000000 0.000000 0.000000 0.000000
cd16 0.000001 0.000032 0.000000 0.000000
cd13 0.000002 0.000156 0.000005 0.000000
cd11 0.000014 0.000161 0.000005 0.000000
ud338 0.000010 0.000164 0.000005 0.000000
ud697 0.009373 0.007242 0.010149 0.000755
ud211 0.000002 0.000110 0.000002 0.000000
ud330 0.004773 0.004134 0.003639 0.000267
cd49 0.000020 0.000043 0.000000 0.000000
cd48 -0.000015 0.000183 0.000007 0.000001
cd45 -0.000005 0.000033 0.000000 0.000000
ud509 0.000012 0.000051 0.000001 0.000000
ud742 0.004514 0.004221 0.003739 0.000282
ud740 0.000545 0.001229 0.000323 0.000024
cd190 -0.000025 0.000099 0.000002 0.000000
cd35 -0.000001 0.000032 0.000000 0.000000
cd199 0.000066 0.000388 0.000030 0.000002
cd42 -0.000007 0.000045 0.000000 0.000000
ud758 0.000018 0.000158 0.000004 0.000000
ud515 0.000004 0.000041 0.000000 0.000000
ud875 -0.000047 0.000769 0.000118 0.000008
ud874 0.000556 0.001160 0.000296 0.000022
cd67 0.000021 0.000097 0.000002 0.000000
cd74 0.000013 0.000067 0.000001 0.000000
cd75 0.000023 0.000372 0.000029 0.000002
cd70 0.000081 0.000266 0.000014 0.000001
ud405 -0.000011 0.000163 0.000005 0.000000
ud642 -0.000010 0.000205 0.000009 0.000001
ud760 0.000208 0.002108 0.000907 0.000071
cd58 0.000005 0.000712 0.000096 0.000007
cd59 -0.000006 0.000074 0.000001 0.000000
hl72 0.000000 0.000000 0.000000 0.000000
cd55 0.000003 0.000047 0.000000 0.000000
cd63 0.000002 0.000033 0.000000 0.000000
cd64 -0.000002 0.000064 0.000001 0.000000
cd61 -0.000010 0.000173 0.000006 0.000000
ud418 0.000321 0.001092 0.000234 0.000016
ud659 0.000097 0.000960 0.000192 0.000014
cd60 -0.000014 0.000432 0.000040 0.000003
ud777 0.011086 0.007892 0.011127 0.000823
ud535 0.000000 0.000000 0.000000 0.000000
ud533 0.000000 0.000000 0.000000 0.000000
ud272 -0.000003 0.000095 0.000002 0.000000
ud152 0.000000 0.000000 0.000000 0.000000
cd89 0.000013 0.000134 0.000003 0.000000
cd283 -0.000026 0.000118 0.000003 0.000000
cd165 -0.000018 0.000067 0.000001 0.000000
cd286 0.000101 0.000364 0.000026 0.000002
cd97 0.000119 0.000545 0.000058 0.000004
cd169 -0.000019 0.000142 0.000004 0.000000
cd94 0.000062 0.000286 0.000015 0.000001
cd95 0.000007 0.000056 0.000001 0.000000
ud148 -0.000041 0.000074 0.000001 0.000000
ud162 0.049517 0.015884 0.050180 0.003556
ud160 -0.000016 0.000033 0.000000 0.000000
ud282 0.000293 0.000834 0.000130 0.000009
cd392 0.000674 0.001521 0.000464 0.000032
cd270 0.000006 0.000044 0.000000 0.000000
cd274 -0.000011 0.000032 0.000000 0.000000
cd398 -0.000038 0.000046 0.000000 0.000000
cd277 -0.000010 0.000209 0.000008 0.000001
cd86 -0.000301 0.000941 0.000189 0.000014
cd155 0.000004 0.000051 0.000001 0.000000
cd159 0.000003 0.000049 0.000000 0.000000
ud276 0.000035 0.000271 0.000014 0.000001
ud153 0.000601 0.001428 0.000452 0.000035
ud174 0.000011 0.000294 0.000017 0.000001
ud170 0.000007 0.000345 0.000025 0.000002
cd187 0.000007 0.000077 0.000001 0.000000
cd188 0.000057 0.000031 0.000000 0.000000
cd291 0.000114 0.000303 0.000019 0.000001
cd290 -0.000039 0.000278 0.000015 0.000001
cd292 0.000005 0.000031 0.000000 0.000000
