type,smell,hibernate-core-3.3.0.GA,hibernate-core-3.5.0-Final,hibernate-core-3.6.0.Final,hibernate-core-4.0.0.Final,hibernate-core-4.1.0.Final,hibernate-core-4.2.0.Final,hibernate-core-4.3.0.Final,hibernate-core-5.0.0.Final,hibernate-core-5.1.0.Final,hibernate-core-5.2.0.Final,hibernate-core-5.3.0.Final,hibernate-core-5.4.0.Final
cd,org.hibernate.jdbc;org.hibernate.stat;org.hibernate.cache;org.hibernate.impl;org.hibernate.loader.custom.sql;org.hibernate.loader.custom;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.engine;org.hibernate.type_PageRank,104.86259942747998,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.jdbc;org.hibernate.stat;org.hibernate.cache;org.hibernate.impl;org.hibernate.loader.custom.sql;org.hibernate.loader.custom;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.engine;org.hibernate.type_NumSetOfElement,10.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.jdbc;org.hibernate.stat;org.hibernate.cache;org.hibernate.impl;org.hibernate.loader.custom.sql;org.hibernate.loader.custom;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.engine;org.hibernate.type_TotNumOfSetOfElement,494.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.metamodel;org.hibernate.metamodel.source.internal;org.hibernate.metamodel.source.hbm;org.hibernate.service.classloading.spi;org.hibernate.service;org.hibernate.service.internal;org.hibernate.metamodel.source_SeverityScore,-Infinity,-Infinity,-Infinity,436.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.metamodel;org.hibernate.metamodel.source.internal;org.hibernate.metamodel.source.hbm;org.hibernate.service.classloading.spi;org.hibernate.service;org.hibernate.service.internal;org.hibernate.metamodel.source_PageRank,-Infinity,-Infinity,-Infinity,74.44924364257137,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.metamodel;org.hibernate.metamodel.source.internal;org.hibernate.metamodel.source.hbm;org.hibernate.service.classloading.spi;org.hibernate.service;org.hibernate.service.internal;org.hibernate.metamodel.source_NumSetOfElement,-Infinity,-Infinity,-Infinity,7.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.metamodel;org.hibernate.metamodel.source.internal;org.hibernate.metamodel.source.hbm;org.hibernate.service.classloading.spi;org.hibernate.service;org.hibernate.service.internal;org.hibernate.metamodel.source_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,789.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.engine.transaction.spi;org.hibernate.service;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping;org.hibernate.id;org.hibernate.id.enhanced_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,516.0,565.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.engine.transaction.spi;org.hibernate.service;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping;org.hibernate.id;org.hibernate.id.enhanced_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,151.5221890047551,160.3537180587142,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.engine.transaction.spi;org.hibernate.service;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping;org.hibernate.id;org.hibernate.id.enhanced_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,8.0,8.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.engine.transaction.spi;org.hibernate.service;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping;org.hibernate.id;org.hibernate.id.enhanced_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,807.0,863.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.id_SeverityScore,-Infinity,73.0,-Infinity,1153.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.id_PageRank,-Infinity,47.057871109220606,-Infinity,66.73612192782531,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.id_NumSetOfElement,-Infinity,2.0,-Infinity,2.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.id_TotNumOfSetOfElement,-Infinity,636.0,-Infinity,789.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.engine.jdbc.spi;org.hibernate.exception.spi;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.type_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,620.0,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.engine.jdbc.spi;org.hibernate.exception.spi;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.type_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,128.79968471385894,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.engine.jdbc.spi;org.hibernate.exception.spi;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.type_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,7.0,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.collection.internal;org.hibernate.persister.collection;org.hibernate.engine.jdbc.spi;org.hibernate.exception.spi;org.hibernate.dialect;org.hibernate.dialect.lock;org.hibernate.type_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1150.0,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.cfg.annotations;org.hibernate.procedure.internal;org.hibernate.loader.custom.sql_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,480.0,559.0,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.cfg.annotations;org.hibernate.procedure.internal;org.hibernate.loader.custom.sql_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,44.91480664863749,43.00268191163221,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.cfg.annotations;org.hibernate.procedure.internal;org.hibernate.loader.custom.sql_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,4.0,4.0,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.cfg.annotations;org.hibernate.procedure.internal;org.hibernate.loader.custom.sql_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1150.0,1308.0,-Infinity,-Infinity,
cd,org.hibernate.persister.walking.internal;org.hibernate.tuple.entity;org.hibernate.tuple.component_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,311.0,-Infinity,489.0,407.0,524.0,
cd,org.hibernate.persister.walking.internal;org.hibernate.tuple.entity;org.hibernate.tuple.component_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,25.802952503427683,-Infinity,25.275029606193183,20.715215843665376,20.204792621693525,
cd,org.hibernate.persister.walking.internal;org.hibernate.tuple.entity;org.hibernate.tuple.component_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,3.0,-Infinity,3.0,3.0,3.0,
cd,org.hibernate.persister.walking.internal;org.hibernate.tuple.entity;org.hibernate.tuple.component_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1176.0,-Infinity,1308.0,1496.0,1507.0,
cd,org.hibernate.cfg;org.hibernate.tool.hbm2ddl;org.hibernate.hql.internal.antlr;org.hibernate.hql.internal.ast.util;org.hibernate.hql.internal.ast;org.hibernate.hql.internal.ast.tree;org.hibernate.hql.internal;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,607.0,625.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.tool.hbm2ddl;org.hibernate.hql.internal.antlr;org.hibernate.hql.internal.ast.util;org.hibernate.hql.internal.ast;org.hibernate.hql.internal.ast.tree;org.hibernate.hql.internal;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,111.49426050436428,118.3841307568454,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.tool.hbm2ddl;org.hibernate.hql.internal.antlr;org.hibernate.hql.internal.ast.util;org.hibernate.hql.internal.ast;org.hibernate.hql.internal.ast.tree;org.hibernate.hql.internal;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,10.0,10.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.hibernate.cfg;org.hibernate.tool.hbm2ddl;org.hibernate.hql.internal.antlr;org.hibernate.hql.internal.ast.util;org.hibernate.hql.internal.ast;org.hibernate.hql.internal.ast.tree;org.hibernate.hql.internal;org.hibernate.internal.util;org.hibernate.property;org.hibernate.mapping_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,807.0,863.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
