Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated
Bug,HHH-8805,30923,[SchemaUpdate] javax.persistence.ForeignKey doesn't respect ConstraintMode.NO_CONSTRAINT,mih_vlad,quaff,Major,Chiusa,Risolto,17/dic/2013 19:52 PM,20/07/2018 06:41
Bug,HHH-4745,20736,/hibernate.cfg.xml not found,,nhsqlguy,Major,Chiusa,Rejected,31/dic/2009 18:48 PM,02/10/2013 12:01
