Parameter S1 S1_conf ST ST_conf
cd807 -0.000006 0.000573 0.000060 0.000004
ud481 0.000002 0.000485 0.000049 0.000003
cd908 0.000003 0.000200 0.000008 0.000001
cd473 -0.000011 0.000106 0.000002 0.000000
cd351 0.000000 0.000000 0.000000 0.000000
cd472 0.000006 0.000228 0.000009 0.000001
cd475 0.000071 0.000614 0.000079 0.000006
cd596 0.000014 0.000208 0.000008 0.000001
cd232 0.000142 0.001264 0.000297 0.000021
cd114 0.000005 0.000515 0.000050 0.000004
cd234 0.000088 0.000558 0.000060 0.000005
cd113 -0.000071 0.000253 0.000011 0.000001
cd116 -0.000070 0.000444 0.000037 0.000003
cd910 -0.000020 0.000196 0.000007 0.000001
ud474 0.000052 0.000452 0.000041 0.000003
ud354 0.000096 0.001453 0.000421 0.000030
cd383 -0.000025 0.000442 0.000041 0.000003
cd264 0.000041 0.000381 0.000031 0.000002
cd263 0.000273 0.001241 0.000309 0.000022
cd266 0.000043 0.000483 0.000049 0.000004
cd265 0.000025 0.000264 0.000014 0.000001
ud925 0.186424 0.029013 0.184453 0.012358
cd700 0.000300 0.001319 0.000357 0.000025
ud245 0.000206 0.000803 0.000120 0.000009
hl203 0.728697 0.050521 0.724817 0.044382
cd825 0.000008 0.000114 0.000002 0.000000
cd828 0.000023 0.000485 0.000043 0.000003
cd708 0.000080 0.000324 0.000020 0.000001
ud261 0.000400 0.001637 0.000507 0.000038
cd492 0.000179 0.000494 0.000049 0.000004
cd250 0.000182 0.000607 0.000072 0.000005
cd374 -0.000000 0.000150 0.000005 0.000000
cd255 0.000007 0.000104 0.000002 0.000000
cd256 -0.000023 0.000213 0.000010 0.000001
cd377 0.000002 0.000216 0.000009 0.000001
cd138 0.000145 0.000730 0.000108 0.000008
cd379 0.000034 0.000143 0.000004 0.000000
cd815 0.000015 0.000400 0.000031 0.000002
cd814 0.000046 0.000097 0.000002 0.000000
cd818 0.000019 0.000108 0.000002 0.000000
