type,smell,apache-cxf-2.0.6,apache-cxf-2.1.1,apache-cxf-2.2.1,apache-cxf-2.3.0,apache-cxf-2.4.0,apache-cxf-2.5.0,apache-cxf-2.6.0,apache-cxf-2.7.0,apache-cxf-3.0.0,apache-cxf-3.1.0,apache-cxf-3.2.0
ud,org.apache.cxf.management.counters_SeverityScore,16.0,18.0,23.0,22.0,24.0,26.0,35.0,38.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.management.counters_PageRank,1.9583952585623683,2.0317717482732385,1.9448752847716209,2.518602263512629,2.5219648309187277,2.5079395470759978,2.474711643931907,2.470942645964112,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.management.counters_NumSetOfElement,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.management.counters_TotNumOfSetOfElement,329.0,457.0,552.0,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.helpers;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.interceptor;org.apache.cxf.message;org.apache.cxf.transport_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,121.0,
cd,org.apache.cxf.endpoint;org.apache.cxf.helpers;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.interceptor;org.apache.cxf.message;org.apache.cxf.transport_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,52.17740389860955,
cd,org.apache.cxf.endpoint;org.apache.cxf.helpers;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.interceptor;org.apache.cxf.message;org.apache.cxf.transport_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,7.0,
cd,org.apache.cxf.endpoint;org.apache.cxf.helpers;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.interceptor;org.apache.cxf.message;org.apache.cxf.transport_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,338.0,
cd,org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.jaxb.io;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.bus.extension_SeverityScore,222.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.jaxb.io;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.bus.extension_PageRank,44.35914600748966,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.jaxb.io;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.bus.extension_NumSetOfElement,10.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.jaxb.io;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.bus.extension_TotNumOfSetOfElement,329.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.common.i18n;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.service;org.apache.cxf.service.model_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,494.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.common.i18n;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.service;org.apache.cxf.service.model_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,105.44571333121839,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.common.i18n;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.service;org.apache.cxf.service.model_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,6.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.common.i18n;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.service;org.apache.cxf.service.model_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,794.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.ws.security.tokenstore_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,24.0,27.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.ws.security.tokenstore_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,2.014258634738969,2.7192038288405005,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.ws.security.tokenstore_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,2.0,2.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.ws.security.tokenstore_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,746.0,794.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.jaxrs.provider_SeverityScore,-Infinity,-Infinity,12.0,7.0,5.0,5.0,9.0,26.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.jaxrs.provider_PageRank,-Infinity,-Infinity,8.33182769596459,12.494130681803362,12.63247622086321,12.941260767984186,10.550388230691127,13.657092176097402,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.jaxrs.provider_NumSetOfElement,-Infinity,-Infinity,3.0,3.0,3.0,3.0,3.0,4.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.jaxrs.provider_TotNumOfSetOfElement,-Infinity,-Infinity,552.0,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.annotations;org.apache.cxf.service.invoker;org.apache.cxf.endpoint;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.helpers_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,122.0,-Infinity,
cd,org.apache.cxf.annotations;org.apache.cxf.service.invoker;org.apache.cxf.endpoint;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.helpers_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,36.747540666440976,-Infinity,
cd,org.apache.cxf.annotations;org.apache.cxf.service.invoker;org.apache.cxf.endpoint;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.helpers_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,6.0,-Infinity,
cd,org.apache.cxf.annotations;org.apache.cxf.service.invoker;org.apache.cxf.endpoint;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.helpers_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,331.0,-Infinity,
cd,org.apache.cxf.ws.policy;org.apache.cxf.ws.policy.attachment.external;org.apache.cxf.ws.policy.attachment_SeverityScore,-Infinity,-Infinity,-Infinity,222.0,247.0,306.0,322.0,279.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.ws.policy;org.apache.cxf.ws.policy.attachment.external;org.apache.cxf.ws.policy.attachment_PageRank,-Infinity,-Infinity,-Infinity,8.81116577679547,9.369723297443784,9.005088486034836,8.341006119418628,8.308245880254427,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.ws.policy;org.apache.cxf.ws.policy.attachment.external;org.apache.cxf.ws.policy.attachment_NumSetOfElement,-Infinity,-Infinity,-Infinity,3.0,3.0,3.0,3.0,3.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.ws.policy;org.apache.cxf.ws.policy.attachment.external;org.apache.cxf.ws.policy.attachment_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.interceptor;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.utils.multipart_SeverityScore,-Infinity,-Infinity,264.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.interceptor;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.utils.multipart_PageRank,-Infinity,-Infinity,10.80415883860803,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.interceptor;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.utils.multipart_NumSetOfElement,-Infinity,-Infinity,4.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.interceptor;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.utils.multipart_TotNumOfSetOfElement,-Infinity,-Infinity,552.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.ws.addressing;org.apache.cxf.ws.policy;org.apache.cxf.ws.policy.builder.primitive_SeverityScore,-Infinity,204.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.ws.addressing;org.apache.cxf.ws.policy;org.apache.cxf.ws.policy.builder.primitive_PageRank,-Infinity,22.15608769181968,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.ws.addressing;org.apache.cxf.ws.policy;org.apache.cxf.ws.policy.builder.primitive_NumSetOfElement,-Infinity,4.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.ws.addressing;org.apache.cxf.ws.policy;org.apache.cxf.ws.policy.builder.primitive_TotNumOfSetOfElement,-Infinity,457.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.soap;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend_SeverityScore,-Infinity,-Infinity,-Infinity,306.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.soap;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend_PageRank,-Infinity,-Infinity,-Infinity,24.62011752168222,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.soap;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend_NumSetOfElement,-Infinity,-Infinity,-Infinity,4.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.soap;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,659.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.corba;org.apache.cxf.binding.corba.utils_SeverityScore,-Infinity,383.0,-Infinity,-Infinity,661.0,756.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.corba;org.apache.cxf.binding.corba.utils_PageRank,-Infinity,8.78080499160205,-Infinity,-Infinity,9.528282635997543,9.586815356583843,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.corba;org.apache.cxf.binding.corba.utils_NumSetOfElement,-Infinity,2.0,-Infinity,-Infinity,2.0,2.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.corba;org.apache.cxf.binding.corba.utils_TotNumOfSetOfElement,-Infinity,457.0,-Infinity,-Infinity,740.0,738.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.javascript.types_SeverityScore,-Infinity,19.0,25.0,31.0,38.0,41.0,43.0,46.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.javascript.types_PageRank,-Infinity,2.7950746205607433,2.812509854483312,2.8894117112546476,2.8782326661870523,2.8895723085967195,2.8710869557839893,2.87553588871876,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.javascript.types_NumSetOfElement,-Infinity,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.javascript.types_TotNumOfSetOfElement,-Infinity,457.0,552.0,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.ws.policy_SeverityScore,178.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.ws.policy_PageRank,46.8190706952245,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.ws.policy_NumSetOfElement,6.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.ws.policy_TotNumOfSetOfElement,329.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.transport_SeverityScore,46.0,51.0,62.0,67.0,72.0,75.0,71.0,74.0,12.0,15.0,8.0,
ud,org.apache.cxf.transport_PageRank,37.856895847775995,43.284771556915956,41.79550781312747,65.17069568324114,67.15754911806876,68.8529127870147,51.637649064122286,55.95590254128912,26.031893690687617,26.915539047221593,26.40434170893466,
ud,org.apache.cxf.transport_NumSetOfElement,7.0,7.0,7.0,9.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,
ud,org.apache.cxf.transport_TotNumOfSetOfElement,329.0,457.0,552.0,659.0,740.0,738.0,746.0,794.0,323.0,331.0,338.0,
cd,org.apache.cxf.phase;org.apache.cxf.message;org.apache.cxf;org.apache.cxf.feature;org.apache.cxf.interceptor.transform;org.apache.cxf.interceptor;org.apache.cxf.transport;org.apache.cxf.wsdl;org.apache.cxf.ws.addressing_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,579.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.phase;org.apache.cxf.message;org.apache.cxf;org.apache.cxf.feature;org.apache.cxf.interceptor.transform;org.apache.cxf.interceptor;org.apache.cxf.transport;org.apache.cxf.wsdl;org.apache.cxf.ws.addressing_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,77.84327043430928,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.phase;org.apache.cxf.message;org.apache.cxf;org.apache.cxf.feature;org.apache.cxf.interceptor.transform;org.apache.cxf.interceptor;org.apache.cxf.transport;org.apache.cxf.wsdl;org.apache.cxf.ws.addressing_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.phase;org.apache.cxf.message;org.apache.cxf;org.apache.cxf.feature;org.apache.cxf.interceptor.transform;org.apache.cxf.interceptor;org.apache.cxf.transport;org.apache.cxf.wsdl;org.apache.cxf.ws.addressing_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.common.util;org.apache.cxf.message;org.apache.cxf.interceptor_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,91.0,
cd,org.apache.cxf;org.apache.cxf.common.util;org.apache.cxf.message;org.apache.cxf.interceptor_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,39.28326072134819,
cd,org.apache.cxf;org.apache.cxf.common.util;org.apache.cxf.message;org.apache.cxf.interceptor_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,4.0,
cd,org.apache.cxf;org.apache.cxf.common.util;org.apache.cxf.message;org.apache.cxf.interceptor_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,338.0,
cd,org.apache.cxf.aegis;org.apache.cxf.aegis.type;org.apache.cxf.aegis.type.xml_SeverityScore,-Infinity,-Infinity,-Infinity,204.0,229.0,287.0,-Infinity,259.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis;org.apache.cxf.aegis.type;org.apache.cxf.aegis.type.xml_PageRank,-Infinity,-Infinity,-Infinity,8.703578703367109,8.075202996371413,8.677975503919015,-Infinity,8.824201022208484,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis;org.apache.cxf.aegis.type;org.apache.cxf.aegis.type.xml_NumSetOfElement,-Infinity,-Infinity,-Infinity,3.0,3.0,3.0,-Infinity,3.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis;org.apache.cxf.aegis.type;org.apache.cxf.aegis.type.xml_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,659.0,740.0,738.0,-Infinity,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.bus;org.apache.cxf.interceptor;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.bus.extension_SeverityScore,183.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.bus;org.apache.cxf.interceptor;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.bus.extension_PageRank,34.69015967439248,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.bus;org.apache.cxf.interceptor;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.bus.extension_NumSetOfElement,6.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.bus;org.apache.cxf.interceptor;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.transport;org.apache.cxf.bus.extension_TotNumOfSetOfElement,329.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.jaxb.attachment_SeverityScore,-Infinity,-Infinity,359.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.jaxb.attachment_PageRank,-Infinity,-Infinity,42.130206730681934,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.jaxb.attachment_NumSetOfElement,-Infinity,-Infinity,9.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.jaxb.attachment_TotNumOfSetOfElement,-Infinity,-Infinity,552.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.invoker;org.apache.cxf.transport;org.apache.cxf;org.apache.cxf.ws.addressing;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend_SeverityScore,-Infinity,280.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.invoker;org.apache.cxf.transport;org.apache.cxf;org.apache.cxf.ws.addressing;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend_PageRank,-Infinity,42.141159641694436,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.invoker;org.apache.cxf.transport;org.apache.cxf;org.apache.cxf.ws.addressing;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend_NumSetOfElement,-Infinity,8.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.invoker;org.apache.cxf.transport;org.apache.cxf;org.apache.cxf.ws.addressing;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend_TotNumOfSetOfElement,-Infinity,457.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs;org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.utils;org.apache.cxf.jaxrs.model.wadl;org.apache.cxf.jaxrs.ext.xml;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.impl_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,499.0,-Infinity,531.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs;org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.utils;org.apache.cxf.jaxrs.model.wadl;org.apache.cxf.jaxrs.ext.xml;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.impl_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,29.309852645700857,-Infinity,33.139927130969,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs;org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.utils;org.apache.cxf.jaxrs.model.wadl;org.apache.cxf.jaxrs.ext.xml;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.impl_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,7.0,-Infinity,7.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs;org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.utils;org.apache.cxf.jaxrs.model.wadl;org.apache.cxf.jaxrs.ext.xml;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.impl_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,738.0,-Infinity,794.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.jaxrs.ext.search_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,32.0,33.0,-Infinity,58.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.jaxrs.ext.search_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,3.2095025675975393,3.198050283283746,-Infinity,4.079555208328451,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.jaxrs.ext.search_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,2.0,2.0,-Infinity,3.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.jaxrs.ext.search_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,740.0,738.0,-Infinity,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf.wsdl_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,452.0,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf.wsdl_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,57.0950173755908,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf.wsdl_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,5.0,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf.wsdl_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,746.0,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.internal;org.apache.cxf.bus.blueprint;org.apache.cxf.configuration.blueprint;org.apache.cxf.interceptor;org.apache.cxf.transport;org.apache.cxf.message;org.apache.cxf.service.model;org.apache.cxf.ws.addressing;org.apache.cxf.helpers_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,133.0,
