type,smell,apache-cxf-2.0.6,apache-cxf-2.1.1,apache-cxf-2.2.1,apache-cxf-2.3.0,apache-cxf-2.4.0,apache-cxf-2.5.0,apache-cxf-2.6.0,apache-cxf-2.7.0,apache-cxf-3.0.0,apache-cxf-3.1.0,apache-cxf-3.2.0
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.interceptor_SeverityScore,-Infinity,-Infinity,358.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.interceptor_PageRank,-Infinity,-Infinity,55.60504707729799,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.interceptor_NumSetOfElement,-Infinity,-Infinity,9.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.attachment;org.apache.cxf.message;org.apache.cxf.transport;org.apache.cxf.binding;org.apache.cxf.wsdl11;org.apache.cxf.service.factory;org.apache.cxf.frontend;org.apache.cxf.jaxb;org.apache.cxf.interceptor_TotNumOfSetOfElement,-Infinity,-Infinity,552.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding;org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf.wsdl;org.apache.cxf.ws.addressing_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,536.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding;org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf.wsdl;org.apache.cxf.ws.addressing_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,69.75963936334342,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding;org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf.wsdl;org.apache.cxf.ws.addressing_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,7.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding;org.apache.cxf.endpoint;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.transport;org.apache.cxf.wsdl;org.apache.cxf.ws.addressing_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,794.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.ws.rm.v200702_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,48.0,54.0,56.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.ws.rm.v200702_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,11.665192703680574,9.225874920885618,10.033415960910718,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.ws.rm.v200702_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,2.0,2.0,2.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.ws.rm.v200702_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis.type.mtom;org.apache.cxf.aegis;org.apache.cxf.aegis.type;org.apache.cxf.aegis.type.java5;org.apache.cxf.aegis.type.basic_SeverityScore,-Infinity,-Infinity,291.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis.type.mtom;org.apache.cxf.aegis;org.apache.cxf.aegis.type;org.apache.cxf.aegis.type.java5;org.apache.cxf.aegis.type.basic_PageRank,-Infinity,-Infinity,16.679781839950923,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis.type.mtom;org.apache.cxf.aegis;org.apache.cxf.aegis.type;org.apache.cxf.aegis.type.java5;org.apache.cxf.aegis.type.basic_NumSetOfElement,-Infinity,-Infinity,5.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis.type.mtom;org.apache.cxf.aegis;org.apache.cxf.aegis.type;org.apache.cxf.aegis.type.java5;org.apache.cxf.aegis.type.basic_TotNumOfSetOfElement,-Infinity,-Infinity,552.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.impl_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,312.0,358.0,-Infinity,357.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.jaxrs;org.apache.cxf.jaxrs.provider;org.apache.cxf.jaxrs.ext;org.apache.cxf.jaxrs.impl_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,25.177190034088127,25.364222256113294,-Infinity,26.86802108963969,-Infinity,-Infinity,-Infinity,
