Parameter Mu_Star Mu Mu_Star_Conf Sigma
cd708 0.000 0.000 0.000 0.000
ud261 0.001 0.001 0.000 0.000
cd492 0.000 0.000 0.000 0.000
cd250 0.000 0.000 0.000 0.000
cd374 0.000 0.000 0.000 0.000
cd255 0.000 0.000 0.000 0.000
cd256 0.000 0.000 0.000 0.000
cd377 0.000 0.000 0.000 0.000
cd138 0.001 0.001 0.000 0.000
cd379 0.000 0.000 0.000 0.000
cd815 0.000 0.000 0.000 0.000
cd814 0.000 0.000 0.000 0.000
cd818 0.000 0.000 0.000 0.000
