Parameter Mu_Star Mu Mu_Star_Conf Sigma
cd736 0.000 0.000 0.000 0.000
ud610 0.000 0.000 0.000 0.000
cd614 0.000 0.000 0.000 0.000
cd859 0.000 0.000 0.000 0.000
ud851 0.000 0.000 0.000 0.000
cd858 0.000 0.000 0.000 0.000
cd616 0.000 0.000 0.000 0.000
cd619 0.000 0.000 0.000 0.000
ud79 0.000 0.000 0.000 0.000
ud76 0.001 0.001 0.000 0.000
ud77 0.001 0.001 0.000 0.000
ud808 0.000 0.000 0.000 0.000
cd701 0.000 0.000 0.000 0.000
cd821 0.000 0.000 0.000 0.000
cd824 0.001 0.001 0.000 0.000
cd823 0.000 0.000 0.000 0.000
cd706 0.000 0.000 0.000 0.000
ud812 0.000 0.000 0.000 0.000
cd811 0.000 0.000 0.000 0.000
cd815 0.000 0.000 0.000 0.000
cd814 0.000 0.000 0.000 0.000
cd816 0.000 0.000 0.000 0.000
cd819 0.000 0.000 0.000 0.000
ud549 0.000 0.000 0.000 0.000
ud306 0.003 0.003 0.000 0.000
ud667 0.002 0.002 0.000 0.000
ud301 0.005 0.005 0.000 0.000
ud422 0.000 0.000 0.000 0.000
ud781 0.000 0.000 0.000 0.000
ud660 0.000 0.000 0.000 0.000
ud319 0.003 0.003 0.000 0.000
ud555 0.001 0.001 0.000 0.000
ud676 0.000 0.000 0.000 0.000
ud675 0.000 0.000 0.000 0.000
ud672 0.000 0.000 0.000 0.000
ud792 0.000 0.000 0.000 0.000
cd29 0.000 0.000 0.000 0.000
cd25 0.000 0.000 0.000 0.000
cd26 0.000 0.000 0.000 0.000
cd22 0.000 0.000 0.000 0.000
cd31 0.000 0.000 0.000 0.000
ud688 0.000 0.000 0.000 0.000
ud567 0.000 0.000 0.000 0.000
ud560 0.003 0.003 0.000 0.000
hl197 0.000 0.000 0.000 0.000
cd16 0.000 0.000 0.000 0.000
cd13 0.000 0.000 0.000 0.000
cd11 0.000 0.000 0.000 0.000
ud338 0.000 0.000 0.000 0.000
ud697 0.004 0.004 0.000 0.000
ud211 0.000 0.000 0.000 0.000
ud330 0.002 0.002 0.000 0.000
cd49 0.000 0.000 0.000 0.000
cd48 0.000 0.000 0.000 0.000
cd45 0.000 0.000 0.000 0.000
ud509 0.000 0.000 0.000 0.000
ud742 0.002 0.002 0.000 0.000
ud740 0.001 0.001 0.000 0.000
cd190 0.000 0.000 0.000 0.000
cd35 0.000 0.000 0.000 0.000
cd199 0.000 0.000 0.000 0.000
cd42 0.000 0.000 0.000 0.000
ud758 0.000 0.000 0.000 0.000
ud515 0.000 0.000 0.000 0.000
ud875 0.000 0.000 0.000 0.000
ud874 0.001 0.001 0.000 0.000
cd67 0.000 0.000 0.000 0.000
cd74 0.000 0.000 0.000 0.000
cd75 0.000 0.000 0.000 0.000
cd70 0.000 0.000 0.000 0.000
ud405 0.000 0.000 0.000 0.000
ud642 0.000 0.000 0.000 0.000
ud760 0.001 0.001 0.000 0.000
cd58 0.000 0.000 0.000 0.000
cd59 0.000 0.000 0.000 0.000
hl72 0.000 0.000 0.000 0.000
cd55 0.000 0.000 0.000 0.000
cd63 0.000 0.000 0.000 0.000
cd64 0.000 0.000 0.000 0.000
cd61 0.000 0.000 0.000 0.000
ud418 0.001 0.001 0.000 0.000
ud659 0.001 0.001 0.000 0.000
cd60 0.000 0.000 0.000 0.000
ud777 0.004 0.004 0.000 0.000
ud535 0.000 0.000 0.000 0.000
ud533 0.000 0.000 0.000 0.000
ud272 0.000 0.000 0.000 0.000
ud152 0.000 0.000 0.000 0.000
cd89 0.000 0.000 0.000 0.000
cd283 0.000 0.000 0.000 0.000
cd165 0.000 0.000 0.000 0.000
cd286 0.000 0.000 0.000 0.000
cd97 0.000 0.000 0.000 0.000
cd169 0.000 0.000 0.000 0.000
cd94 0.000 0.000 0.000 0.000
cd95 0.000 0.000 0.000 0.000
ud148 0.000 0.000 0.000 0.000
ud162 0.008 0.008 0.000 0.000
ud160 0.000 0.000 0.000 0.000
ud282 0.000 0.000 0.000 0.000
cd392 0.001 0.001 0.000 0.000
cd270 0.000 0.000 0.000 0.000
cd274 0.000 0.000 0.000 0.000
cd398 0.000 0.000 0.000 0.000
cd277 0.000 0.000 0.000 0.000
cd86 0.001 0.001 0.000 0.000
cd155 0.000 0.000 0.000 0.000
cd159 0.000 0.000 0.000 0.000
ud276 0.000 0.000 0.000 0.000
ud153 0.001 0.001 0.000 0.000
ud174 0.000 0.000 0.000 0.000
ud170 0.000 0.000 0.000 0.000
cd187 0.000 0.000 0.000 0.000
cd188 0.000 0.000 0.000 0.000
cd291 0.000 0.000 0.000 0.000
cd290 0.000 0.000 0.000 0.000
cd292 0.000 0.000 0.000 0.000
cd295 0.000 0.000 0.000 0.000
cd299 0.001 0.001 0.000 0.000
ud177 0.000 0.000 0.000 0.000
ud4 0.004 0.004 0.000 0.000
ud6 0.000 0.000 0.000 0.000
ud9 0.000 0.000 0.000 0.000
cd482 0.000 0.000 0.000 0.000
cd121 0.001 0.001 0.000 0.000
cd242 0.000 0.000 0.000 0.000
cd362 0.000 0.000 0.000 0.000
cd365 0.000 0.000 0.000 0.000
cd485 0.000 0.000 0.000 0.000
cd122 0.000 0.000 0.000 0.000
cd488 0.000 0.000 0.000 0.000
cd366 0.000 0.000 0.000 0.000
cd245 0.000 0.000 0.000 0.000
ud229 0.001 0.001 0.000 0.000
cd127 0.000 0.000 0.000 0.000
ud228 0.001 0.001 0.000 0.000
cd128 0.000 0.000 0.000 0.000
ud588 0.002 0.002 0.000 0.000
ud222 0.000 0.000 0.000 0.000
ud582 0.001 0.001 0.000 0.000
ud360 0.001 0.001 0.000 0.000
ud481 0.001 0.001 0.000 0.000
hl694 0.001 0.001 0.000 0.000
cd592 0.000 0.000 0.000 0.000
cd352 0.000 0.000 0.000 0.000
cd231 0.000 0.000 0.000 0.000
cd472 0.000 0.000 0.000 0.000
cd230 0.000 0.000 0.000 0.000
cd232 0.000 0.000 0.000 0.000
cd353 0.000 0.000 0.000 0.000
cd111 0.000 0.000 0.000 0.000
cd235 0.000 0.000 0.000 0.000
cd479 0.000 0.000 0.000 0.000
cd116 0.000 0.000 0.000 0.000
cd358 0.000 0.000 0.000 0.000
cd357 0.000 0.000 0.000 0.000
cd239 0.000 0.000 0.000 0.000
cd359 0.000 0.000 0.000 0.000
cd238 0.000 0.000 0.000 0.000
cd119 0.000 0.000 0.000 0.000
ud234 0.000 0.000 0.000 0.000
ud356 0.000 0.000 0.000 0.000
ud474 0.000 0.000 0.000 0.000
ud595 0.000 0.000 0.000 0.000
ud112 0.001 0.001 0.000 0.000
ud371 0.001 0.001 0.000 0.000
ud372 0.000 0.000 0.000 0.000
cd260 0.000 0.000 0.000 0.000
cd262 0.000 0.000 0.000 0.000
cd141 0.000 0.000 0.000 0.000
cd383 0.000 0.000 0.000 0.000
cd385 0.000 0.000 0.000 0.000
cd142 0.000 0.000 0.000 0.000
cd266 0.000 0.000 0.000 0.000
cd389 0.000 0.000 0.000 0.000
cd147 0.000 0.000 0.000 0.000
cd388 0.000 0.000 0.000 0.000
ud124 0.017 0.017 0.000 0.000
ud487 0.001 0.001 0.000 0.000
ud120 0.006 0.006 0.000 0.000
ud484 0.001 0.001 0.000 0.000
ud261 0.001 0.001 0.000 0.000
ud380 0.003 0.003 0.000 0.000
cd370 0.000 0.000 0.000 0.000
cd490 0.000 0.000 0.000 0.000
cd495 0.000 0.000 0.000 0.000
cd374 0.000 0.000 0.000 0.000
cd131 0.000 0.000 0.000 0.000
cd252 0.000 0.000 0.000 0.000
cd494 0.000 0.000 0.000 0.000
cd2 0.000 0.000 0.000 0.000
cd133 0.000 0.000 0.000 0.000
cd496 0.000 0.000 0.000 0.000
cd254 0.000 0.000 0.000 0.000
cd257 0.000 0.000 0.000 0.000
cd499 0.000 0.000 0.000 0.000
cd5 0.000 0.000 0.000 0.000
ud373 0.001 0.001 0.000 0.000
