Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,CXF-4351,12558681,No JSON output under OSGi because cxf-rt-frontend-jaxrs is missing Import-Package for org.apache.cxf.jaxrs.provider.json,,cdolan,Major,Closed,Fixed,30/May/12 22:09,28/Aug/12 17:44,
Bug,CXF-2541,12440830,JMX Per Operation ResponseTime not collected for JAX-RS services,,cleclerc,Major,Closed,Fixed,16/Nov/09 17:30,01/Feb/10 19:02,
Bug,CXF-2091,12416313,CXF Bundle is hardly usable under OSGi,dkulp,ceefour,Major,Closed,Fixed,06/Mar/09 16:42,01/Feb/10 19:02,
