"Issue Type","Issue key","Issue id","Summary","Assignee","Reporter","Priority","Status","Resolution","Created","Updated","Due Date"
"Improvement","CXF-7923",13203014,"String.split via fastpath instead of precompiled Pattern","amarkevich","amarkevich","Major","Resolved","Fixed","07/Dec/18 11:14","10/Dec/18 09:53",
"Bug","CXF-7527",13108290,"JAXRS UriInfo.getMatchedUris does return matched URIs twice for sub resources","andymc","nlenoire","Major","Closed","Fixed","10/Oct/17 13:08","07/Feb/18 14:51",
"Bug","CXF-7537",13111507,"Java 2 security failures - doPrivs needed to run with Java 2 security mgr",,"andymc","Major","Closed","Fixed","23/Oct/17 18:46","24/Jan/18 15:02",
"Bug","CXF-5207",12663795,"Most of cxf latest 2.7.7-SNAPSHOT bundles export 3.0.0-SNAPSHOT version of packages","dkulp","xldai","Major","Closed","Not A Problem","15/Aug/13 03:42","05/Dec/13 19:05",
"Bug","CXF-4351",12558681,"No JSON output under OSGi because cxf-rt-frontend-jaxrs is missing Import-Package for org.apache.cxf.jaxrs.provider.json",,"cdolan","Major","Closed","Fixed","30/May/12 22:09","28/Aug/12 17:44",
"Bug","CXF-2091",12416313,"CXF Bundle is hardly usable under OSGi","dkulp","ceefour","Major","Closed","Fixed","06/Mar/09 16:42","01/Feb/10 19:02",
"Bug","CXF-2218",12425413,"NoClassDefFoundError exception thrown for org.apache.cxf.jaxrs.impl.ResponseImpl",,"ceefour","Major","Closed","Cannot Reproduce","14/May/09 05:19","30/Jul/09 17:59",
