"Issue Type","Issue key","Issue id","Summary","Assignee","Reporter","Priority","Status","Resolution","Created","Updated","Due Date"
"Bug","CXF-7422",13081673,"Getting Bean Creation exception while building application","deki","raghuram.th","Major","Closed","Cannot Reproduce","22/Jun/17 07:09","17/Apr/18 00:56",
"Bug","CXF-4853",12633922,"There is no backwards compatibility between version 2.5.2 and 2.7.3",,"migue.retuerto","Major","Closed","Invalid","25/Feb/13 15:25","09/Apr/13 15:19",
"Bug","CXF-2718",12459334,"JAX-RS OSGi doesnt support relative path from annotation,,george.g,Major,Closed,Wont Fix","16/Mar/10 22:47","11/Oct/10 15:01",,,,,,
"Bug","CXF-2091",12416313,"CXF Bundle is hardly usable under OSGi","dkulp","ceefour","Major","Closed","Fixed","06/Mar/09 16:42","01/Feb/10 19:02",
"Improvement","CXF-3079",12478009,"Javadoc refinements are necesarry as exposed by the CXF build process (mvn -e)","dkulp","gliesian","Trivial","Closed","Fixed","21/Oct/10 16:55","21/Jan/11 18:14",
